id,ball1,ball2,ball3,ball4,team_code,team_name,team_sequence
770,4,8,12,14,TOR,Toronto,65
771,4,8,13,14,NYR,NY Rangers,92
772,4,9,10,11,TOR,Toronto,66
773,4,9,10,12,NYR,NY Rangers,93
774,4,9,10,13,CGY,Calgary,70
775,4,9,10,14,VAN,Vancouver,149
776,4,9,11,12,NYR,NY Rangers,94
777,4,9,11,13,NJD,New Jersey,16
778,4,9,11,14,STL,St. Louis,23
779,4,9,12,13,NYR,NY Rangers,95
780,4,9,12,14,NJD,New Jersey,17
781,4,9,13,14,NYR,NY Rangers,96
782,4,10,11,12,CHI,Chicago,101
783,4,10,11,13,SEA,Seattle,58
784,4,10,11,14,CHI,Chicago,102
785,4,10,12,13,SJS,San Jose,42
786,4,10,12,14,CGY,Calgary,71
787,4,10,13,14,FLA,Florida,52
788,4,11,12,13,NYR,NY Rangers,97
789,4,11,12,14,CHI,Chicago,103
790,4,11,13,14,NYR,NY Rangers,98
791,4,12,13,14,CHI,Chicago,104
792,5,6,7,8,TOR,Toronto,67
793,5,6,7,9,NYR,NY Rangers,99
794,5,6,7,10,NJD,New Jersey,18
795,5,6,7,11,NYR,NY Rangers,100
796,5,6,7,12,WPG,Winnipeg,49
797,5,6,7,13,NJD,New Jersey,19
798,5,6,7,14,SEA,Seattle,59
799,5,6,8,9,CGY,Calgary,72
800,5,6,8,10,CGY,Calgary,73
801,5,6,8,11,SEA,Seattle,60
802,5,6,8,12,VAN,Vancouver,150
803,5,6,8,13,FLA,Florida,53
804,5,6,8,14,TOR,Toronto,68
805,5,6,9,10,CBJ,Columbus,11
806,5,6,9,11,CHI,Chicago,105
807,5,6,9,12,WAS,Washington,2
808,5,6,9,13,CGY,Calgary,74
809,5,6,9,14,NYR,NY Rangers,101
810,5,6,10,11,VAN,Vancouver,151
811,5,6,10,12,CGY,Calgary,75
812,5,6,10,13,SEA,Seattle,61
813,5,6,10,14,CHI,Chicago,106
814,5,6,11,12,CGY,Calgary,76
815,5,6,11,13,CHI,Chicago,107
816,5,6,11,14,SEA,Seattle,62
817,5,6,12,13,CGY,Calgary,77
818,5,6,12,14,CHI,Chicago,108
819,5,6,13,14,SEA,Seattle,63
820,5,7,8,9,SEA,Seattle,64
821,5,7,8,10,CGY,Calgary,78
822,5,7,8,11,FLA,Florida,54
823,5,7,8,12,CHI,Chicago,109
824,5,7,8,13,FLA,Florida,55
825,5,7,8,14,FLA,Florida,56
826,5,7,9,10,CHI,Chicago,110
827,5,7,9,11,WPG,Winnipeg,50
828,5,7,9,12,FLA,Florida,57
829,5,7,9,13,VAN,Vancouver,152
830,5,7,9,14,VAN,Vancouver,153
831,5,7,10,11,CGY,Calgary,79
832,5,7,10,12,CHI,Chicago,111
833,5,7,10,13,VAN,Vancouver,154
834,5,7,10,14,NYI,NY Islanders,17
835,5,7,11,12,CBJ,Columbus,12
836,5,7,11,13,NYR,NY Rangers,102
837,5,7,11,14,VAN,Vancouver,155
838,5,7,12,13,NYR,NY Rangers,103
839,5,7,12,14,TOR,Toronto,69
840,5,7,13,14,WAS,Washington,3
841,5,8,9,10,CHI,Chicago,112
842,5,8,9,11,SEA,Seattle,65
843,5,8,9,12,SJS,San Jose,43
844,5,8,9,13,VAN,Vancouver,156
845,5,8,9,14,DET,St. Louis (DET),5
846,5,8,10,11,CHI,Chicago,113
847,5,8,10,12,VAN,Vancouver,157
848,5,8,10,13,CGY,Calgary,80
